+	Ohthere	Ohthere	ohthere
+	openlice	openlice	openlice
+	cyþan	cydde	cyþan
-	feran	Færde	None
-	þa	þa	þu
+	arodlice	ardlice	arodlice
-	to	to	toh
+	Alexandria	Alexandrian	alexandria
+	burh	byrig	burh
-	to	to	toh
-	se	þam	þæm
+	heahgerefa	heahgeræfan	heahgerefa
-	þe	þe	þu
+	wesan	wæs	wesan
-	gehatan	gehaten	hatan
+	Philippus	Philippus	philippus
+	Eugenia	Eugenian	eugenia
+	fæder	fæder	fæder
-	þeah	þeah	þiсgan
-	se	seo	seon
+	ful	fule	ful
-	se	þæt	þæt
-	ne	n	næs
-	witan	yste	ystan
+	and	and	and
+	beginnan	begann	beginnan
-	heo	hi	hi
-	to	to	toh
+	wregan	wrægenne	wregan
+	and	and	and
+	willan	wolde	willan
+	forsecgan	forsæcgan	forsecgan
-	cweþan	Cwæð	None
+	þæt	þæt	þæt
+	heo	heo	heo
+	gan	eode	gan
-	to	to	toh
-	hire	hyre	hyrian
-	licgan	licgendre	None
+	on	on	on
+	læce	læces	læce
+	hiw	hiwe	hiw
+	and	and	and
-	heo	hi	hi
+	willan	wolde	willan
+	forlicgan	forlycgan	forlicgan
+	gif	gif	gif
+	heo	heo	heo
-	se	þæt	þæt
+	bismer	bysmor	bismer
+	forberan	forberan	forberan
+	willan	wolde	willan
+	ac	Ac	ac
+	ic	ic	ic
+	hryman	hrymde	hryman
+	sona	sona	sona
+	mid	mid	mid
+	sarlic	sarlicre	sarlic
+	stefn	stæmne	stefn
+	oþ	oþ	oþ
+	þæt	þæt	þæt
-	an	an	on
+	min	minra	min
-	wifmann	wimmanna	None
-	ic	me	me
+	wiþ	wið	wiþ
+	he	hine	he
+	ahreddan	ahredde	ahreddan
+	þa	Ða	þa
-	gelifan	gelyfde	gelyfan
+	Philippus	Philippus	philippus
-	se	þære	þære
+	facenful	facenfyllan	facenful
+	segen	segene	segen
+	and	and	and
+	swiðe	swiðe	swiðe
+	gehathirtan	gehatheort	gehathirtan
-	hatan	het	hettan
-	heo	hi	hi
+	gefeccan	gefæccan	gefeccan
+	and	and	and
-	eac	eac	eacan
-	se	ða	þe
+	gebroðor	gebroðra	gebroðor
-	eal	ealle	ealle
+	gebindan	gebundene	gebindan
+	and	and	and
+	healdan	heold	healdan
+	hi	hi	hi
+	on	on	on
+	bend	bendum	bend
+	and	and	and
+	on	on	on
+	blind	blindum	blind
+	cweartern	cwearterne	cweartern
+	oþ	oð	oþ
+	þæt	þæt	þæt
+	he	he	he
+	mid	mid	mid
-	wite	wytum	None
-	se	þæt	þæt
+	wif	wif	wif
+	gewrecan	gewræce	gewrecan
+	þa	Þa	þa
+	cuman	com	cuman
+	se	se	se
+	dæg	dæg	dæg
-	þe	þe	þu
+	se	se	se
+	dema	dema	dema
+	gesettan	gesætte	gesettan
+	and	And	and
+	wesan	wæron	wesan
+	gegearcian	gegeorcode	gegearcian
-	se	þa	þu
+	reðe	reðan	reðe
-	wite	wyta	None
+	and	And	and
-	weorþan	wurdon	wurdon
+	gefetian	gefætte	gefetian
+	ætforan	ætforan	ætforan
-	se	þam	þæm
-	dema	deman	deman
-	se	þa	þu
+	unscyldig	unscildigan	unscyldig
+	cristen	cristenan	cristen
+	on	on	on
-	sweart	swærtum	None
+	racent-teah	racentægum	racent-teah
+	þa	Ða	þa
-	cweþan	cwæð	cweðan
+	Philippus	Philippus	philippus
+	mid	mid	mid
+	full	fullum	full
+	grama	graman	grama
-	to	to	toh
+	Eugenia	Eugenian	eugenia
-	his	his	hit
+	agen	agenre	agen
+	dohtor	dehter	dohtor
-	secgan	Sege	None
+	þu	þu	þu
+	forscyldigian	forscyldeguda	forscyldigian
+	hwy	hwi	hwy
+	willan	woldest	willan
+	þu	ðu	þu
+	beswican	beswican	beswican
-	se	þæt	þæt
+	mære	mære	mære
+	wif	wif	wif
+	Melantia	Melantian	melantia
+	mid	mid	mid
+	forliger	forligre	forliger
+	and	and	and
+	on	on	on
+	læce	læces	læce
+	hiw	hiwe	hiw
-	heo	hi	hi
+	forlicgan	forlicgan	forlicgan
+	willan	woldest	willan
+	þa	Ða	þa
-	cweþan	cwæð	cweðan
+	Eugenia	Eugenia	eugenia
+	þæt	þæt	þæt
+	heo	heo	heo
+	eaþe	eaþe	eaþe
-	magan	mihte	miht
+	se	þæs	se
+	forliger	forlyres	forliger
+	unhlisa	unhlisan	unhlisa
-	heo	hi	hi
+	beladian	beladian	beladian
+	and	and	and
+	Melantia	Melantian	melantia
+	onsagu	onsage	onsagu
+	mid	mid	mid
-	soþ	soðe	soð
+	oferdrifan	oferdrifan	oferdrifan
+	gif	gif	gif
+	Philippus	Philippus	philippus
+	willan	wolde	willan
+	gefæstnian	gefæstnian	gefæstnian
+	mid	mid	mid
+	aþ	aþe	aþ
+	þæt	þæt	þæt
-	se	seo	seon
+	leas	lease	leas
+	wregestre	wrægistre	wregestre
-	ne	ne	nesan
+	weorþan	wurde	weorþan
-	fordeman	fordæmed	None
+	þa	Ða	þa
+	swerian	swor	swerian
+	Philippus	Philippus	philippus
+	þæt	þæt	þæt
+	he	he	he
+	friþian	friðian	friþian
+	willan	wolde	willan
-	se	þa	þu
+	leas	leasan	leas
+	widuwe	wudewan	widuwe
+	þeah	ðeah	þeah
-	þe	þe	þu
+	heo	heo	heo
+	gelygnian	gelignod	gelygnian
-	weorþan	wurðe	weorþ
+	þa	Þa	þa
-	biddan	bæd	bædan
+	Eugenia	Eugenia	eugenia
+	þæt	þæt	þæt
-	se	seo	seon
+	wiln	wyln	wiln
+	sculan	sceolde	sculan
-	secgan	sæcgan	None
-	se	þam	þæm
-	dema	deman	deman
+	hu	hu	hu
+	hit	hit	hit
-	gedo	gedon	gedon
-	wesan	wære	wære
+	and	and	and
+	hu	hu	hu
+	heo	heo	heo
-	hire	hyre	hyrian
+	hlæfdige	hlæfdian	hlæfdige
+	wiþ	wið	wiþ
-	hire	hyre	hyrian
+	lust	lustas	lust
+	ahreddan	ahrædde	ahreddan
+	and	And	and
+	se	se	se
+	gerefa	gerefa	gerefa
-	hatan	het	hettan
-	eac	eac	eacan
-	se	þa	þu
+	cniht	cnihtas	cniht
+	Melantia	Melantian	melantia
-	hired	hyredes	None
+	cyþan	cyðan	cyþan
+	be	be	be
+	þes	ðison	þes
+	gif	gif	gif
+	hi	hi	hi
+	þes	þis	þes
-	gehyran	gehyrdon	gehyrdan
+	þa	Þa	þa
-	cweþan	cwæð	cweðan
-	se	seo	seon
+	wiln	wyln	wiln
+	þæt	þæt	þæt
+	heo	heo	heo
-	witan	wyste	None
+	gefyrn	gefyrn	gefyrn
+	hu	hu	hu
+	Eugenia	Eugenia	eugenia
+	feran	ferde	feran
+	fracodlice	fracodlice	fracodlice
+	on	on	on
+	forliger	forlygre	forliger
+	and	and	and
+	willan	wolde	willan
-	þa	þa	þu
+	æt-nyhstan	æt.nehstan	æt-nyhstan
-	hire	hyre	hyrian
+	hlæfdige	hlæfdian	hlæfdige
+	gebismerian	gebysmrian	gebismerian
+	butan	butan	butan
+	heo	heo	heo
+	mid	mid	mid
+	hream	hreame	hream
-	hire	hyre	hyrian
+	hredding	hræddinge	hredding
+	ofclipian	ofclypode	ofclipian
+	þes	þis	þes
+	witan	witan	witan
+	þes	þas	þes
+	hiredmann	hyredmen	hiredmann
-	þe	þe	þu
+	ic	ic	ic
+	þider	þider	þider
+	clypian	clypode	clypian
+	þa	Ða	þa
+	secgan	sædon	secgan
-	se	þa	þu
+	hiredmann	hyredmenn	hiredmann
+	þæt	þæt	þæt
+	hit	hit	hit
-	soþ	soð	soð
-	wesan	wære	wære
+	and	and	and
-	eal	ealle	ealle
+	mid	mid	mid
+	aþ	aðe	aþ
+	Eugenia	Eugenian	eugenia
+	forleogan	forlugan	forleogan
+	þa	Þa	þa
-	weorþan	wearð	None
+	se	se	se
-	gerefa	geræfa	None
+	þearle	þearle	þearle
+	gebelgan	gebolgen	gebelgan
+	and	and	and
-	ascian	axude	None
+	Eugenia	Eugenian	eugenia
+	hu	hu	hu
+	heo	heo	heo
+	ana	ana	ana
-	magan	mihte	miht
-	eal	ealle	ealle
-	se	þa	þu
+	gewita	gewytan	gewita
+	awægan	awægan	awægan
+	mid	mid	mid
+	aþ	aðe	aþ
+	oððe	oððe	oððe
+	þurh	þurh	þurh
+	ænig	ænige	ænig
+	sweotolung	swutelunge	sweotolung
-	heo	hi	hi
+	self	sylfe	self
+	aclænsian	aclænsian	aclænsian
-	hwæt	Hwæt	None
-	þa	ða	þe
+	Eugenia	Eugenia	eugenia
-	se	seo	seon
-	æðele	æþele	æþelu
+	fæmne	fæmne	fæmne
-	cweþan	cwæð	cweðan
+	þæt	þæt	þæt
+	heo	heo	heo
+	willan	wolde	willan
-	heo	hi	hi
+	self	sylfe	self
+	bediglian	bediglian	bediglian
+	and	and	and
+	Crist	Criste	crist
+	an	anum	an
-	hire	hyre	hyrian
+	clænnes	clænnysse	clænnes
+	healdan	healdan	healdan
+	on	on	on
+	mægþhad	mægðhade	mægþhad
+	wunian	wuniende	wunian
+	mann	mannum	mann
+	uncuþ	uncuð	uncuþ
+	and	and	and
+	forði	forðy	forði
+	underfon	underfænge	underfon
+	æt	æt	æt
+	fruma	fruman	fruma
-	se	þa	þu
+	gerela	gyrlan	gerela
+	werlic	wærlices	werlic
+	had	hades	had
+	and	and	and
+	weorþan	wurde	weorþan
+	geefesian	geefsod	geefesian
+	æfter	Æfter	æfter
+	þes	þysum	þes
+	word	wordum	word
+	heo	heo	heo
+	toteran	totær	toteran
-	hire	hyre	hyrian
+	gewæde	gewædu	gewæde
+	and	and	and
+	æteowian	ætæwde	æteowian
-	hire	hyre	hyrian
+	breost	breost	breost
-	se	þam	þæm
+	breme	breman	breme
+	Philippus	Philippe	philippus
+	and	and	and
-	cweþan	cwæð	cweðan
-	he	him	him
-	to	to	toh
+	þu	þu	þu
+	wesan	eart	wesan
+	min	min	min
+	fæder	fæder	fæder
+	and	and	and
-	þin	þin	þu
-	gebedda	gebædda	None
+	Claudia	Claudia	claudia
+	geberan	gebær	geberan
-	ic	me	me
-	to	to	toh
+	mann	mannum	mann
+	and	and	and
+	þes	ðas	þes
+	þin	ðine	þin
+	gesetla	gesætlan	gesetla
-	wesan	synd	None
+	min	mine	min
+	gebroðor	gebroðra	gebroðor
+	Auitus	Auitus	auitus
+	and	and	and
+	Sergius	Særgius	sergius
+	and	and	and
+	ic	ic	ic
-	Soðlice	soðlice	soþlice
+	wesan	eom	wesan
+	Eugenia	Eugenia	eugenia
-	gehatan	gehaten	hatan
-	þin	þin	þu
-	agen	agen	ongeagn
+	dohtor	dohtor	dohtor
+	and	And	and
+	ic	ic	ic
+	for	for	for
+	Crist	Cristes	crist
+	lufu	lufe	lufu
+	forlætan	forlæt	forlætan
+	ge	eow	ge
-	eal	ealle	ealle
+	and	and	and
+	middaneardlic	middaneardlice	middaneardlic
+	lust	lustas	lust
+	swa	swa	swa
+	swa	swa	swa
+	meox	meox	meox
+	forseon	forseah	forseon
+	her	Her	her
-	wesan	synd	None
-	eac	eac	eacan
-	se	þa	þu
+	cniht	cnihtas	cniht
-	þe	þe	þu
+	ic	ic	ic
+	cyþan	cydde	cyþan
+	min	mine	min
+	digolnes	digolnysse	digolnes
+	Protus	Protus	protus
-	et	et	etan
+	Iacinctus	Iacinctus	iacinctus
+	þin	þine	þin
+	fostercild	fostercyld	fostercild
+	mid	mid	mid
-	se	ðam	ðam
+	ic	ic	ic
+	becuman	becom	becuman
-	to	to	toh
+	Crist	Cristes	crist
+	scolu	scole	scolu
+	and	and	and
+	þæron	þær.on	þæron
+	drohtnian	drohtnode	drohtnian
+	oþ	oð	oþ
+	þes	þisne	þes
-	andweard	andwærden	None
+	dæg	dæg	dæg
+	and	and	and
-	se	ðam	ðam
+	ic	ic	ic
-	willan	wylle	None
+	æfre	æfre	æfre
+	oþ	oð	oþ
+	ende	ende	ende
+	þeowian	þeowian	þeowian
+	þa	Ða	þa
+	oncnawan	oncneow	oncnawan
+	Philippus	Philippus	philippus
+	swa	swa	swa
+	swa	swa	swa
+	fæder	fæder	fæder
+	Eugenia	Eugenian	eugenia
+	and	and	and
+	Auitus	Auitus	auitus
+	and	and	and
+	Sergius	Særgius	sergius
-	hira	hyra	hyra
+	agen	agene	agen
-	sweostor	swyster	None
+	and	and	and
-	hira	hyra	hyra
+	hiredcniht	hyredcnihtas	hiredcniht
-	heo	hi	hi
+	eadmodlice	eadmodlice	eadmodlice
-	cyssan	cyston	cystan
+	þes	Þis	þes
-	weorþan	wearð	None
+	sona	sona	sona
-	gecyþan	gecyd	None
+	Claudia	Claudian	claudia
-	se	þære	þære
+	modor	mæder	modor
+	and	and	and
+	heo	heo	heo
+	mid	mid	mid
+	wundrung	wundrunge	wundrung
-	weorþan	wearð	None
+	befon	befangen	befon
+	and	and	and
-	to	to	toh
+	Eugenia	Eugenian	eugenia
+	cuman	com	cuman
+	mid	mid	mid
-	eal	ealre	eall
+	blis	blysse	blis
+	hi	Hi	hi
-	þa	þa	þu
+	gefrætewian	gefretewodon	gefrætewian
-	se	þa	þu
+	fæmne	fæmnan	fæmne
+	mid	mid	mid
+	gold	golde	gold
-	hire	hyre	hyrian
+	unþanc	unþances	unþanc
+	and	and	and
+	up	up	up
+	gesettan	gesætton	gesettan
-	to	to	toh
-	hi	him	him
+	þa	Þa	þa
+	clypian	clypode	clypian
-	se	þæt	þæt
+	folc	folc	folc
+	þæt	þæt	þæt
+	Crist	Crist	crist
-	wesan	wære	wære
-	soþ	soð	soð
+	God	God	god
+	and	and	and
+	hi	hi	hi
-	eal	ealle	ealle
-	herian	herodon	None
-	se	þonne	þonne
+	hælend	hælend	hælend
+	mid	mid	mid
+	wuldor	wuldre	wuldor
+	Eugenia	Eugenia	eugenia
+	habban	hæfde	habban
+	ær	ær	ær
-	geþingian	geþingod	þingian
-	se	þære	þære
+	leas	leasan	leas
+	Melantia	Melantian	melantia
-	to	to	toh
-	hire	hyre	hyrian
+	leof	leofan	leof
+	fæder	fæder	fæder
+	þæt	þæt	þæt
+	heo	heo	heo
+	mid	mid	mid
-	wite	wytum	None
-	ne	ne	nesan
+	awrecan	awræce	awrecan
-	hire	hyre	hyrian
+	wælhreow	welhreowan	wælhreow
+	ehtnes	ehtnysse	ehtnes
+	ac	Ac	ac
+	Crist	Crist	crist
+	self	sylf	self
+	asendan	asende	asendan
+	swegan	swægende	swegan
+	fyr	fyr	fyr
+	ufan	ufan	ufan
+	of	of	of
+	heofon	heofonum	heofon
-	se	þæt	þæt
+	mann	menn	mann
+	onhawian	onhawoden	onhawian
-	to	to	toh
+	Melantia	Melantian	melantia
+	botl	botle	botl
+	and	and	and
+	hit	hit	hit
+	mid	mid	mid
-	eal	ealle	ealle
+	forbærnan	forbernde	forbærnan
+	swa	swa	swa
+	þæt	þæt	þæt
+	þær	ðær	þær
-	ne	n	næs
-	wesan	æs	æs
-	to	to	toh
+	laf	lafe	laf
+	nan	nan	nan
-	þing	ðing	None
-	þe	þe	þu
-	heo	hyre	hyrian
+	wesan	wæs	wesan
+	þa	Þa	þa
-	weorþan	wurdon	wurdon
+	gefyllan	gefullode	gefyllan
+	Philippus	Philippus	philippus
+	and	and	and
+	Claudia	Claudia	claudia
+	and	and	and
+	hira	heora	hira
+	Twægen	twægen	twægen
+	sunu	suna	sunu
+	mid	mid	mid
-	soþ	soðum	soð
+	geleafa	geleafan	geleafa
+	and	and	and
-	se	seo	seon
+	micel	mæste	micel
+	menigu	mæniu	menigu
+	se	þæs	se
+	mennisc	mennisces	mennisc
+	gebugan	gebeah	gebugan
-	to	to	toh
+	Crist	Cristes	crist
-	bigeng	bigengum	bigenga
+	and	and	and
-	se	þa	þu
+	cristen	cristenan	cristen
+	gegodian	gegododon	gegodian
+	þa	Ða	þa
-	weorþan	wurdon	wurdon
+	geedniwian	geædniwode	geedniwian
+	on	on	on
-	se	ðam	ðam
+	eahtoþa	eahteoðan	eahtoþa
-	gear	geare	geare
-	se	þa	þu
-	forlætan	forlætenan	None
+	circe	cyrcan	circe
+	and	and	and
-	se	seo	seon
+	geleaffulnes	geleaffulnyss	geleaffulnes
+	weaxan	weox	weaxan
+	Philippus	Philippus	philippus
-	þa	þa	þu
+	asendan	asende	asendan
-	to	to	toh
+	Seuerus	Seuero	seuerus
-	se	þam	þæm
+	Casere	casere	casere
+	and	and	and
-	secgan	sæde	sæd
+	þæt	þæt	þæt
-	se	þa	þu
+	cristen	cristenan	cristen
+	swiðe	swiðe	swiðe
+	fremian	fremoden	fremian
-	his	his	hit
+	cynerice	cynerice	cynerice
+	and	and	and
+	Romanisc	romaniscere	romanisc
-	leod	leode	leode
+	and	and	and
+	hi	hi	hi
-	wel	wæl	wæl
+	weorþ	wyrðe	weorþ
+	wesan	wæron	wesan
+	þæt	þæt	þæt
+	hi	hi	hi
+	wunian	wunodon	wunian
+	butan	butan	butan
+	eahtnes	æhtnysse	eahtnes
+	on	on	on
+	se	ðære	se
+	ilca	ylcan	ilca
+	burh	byrig	burh
-	þe	þe	þu
+	he	he	he
+	hi	hi	hi
+	ær	ær	ær
+	of	of	of
+	adrifan	adræfde	adrifan
+	þa	Þa	þa
+	geþafian	geþafode	geþafian
+	se	se	se
+	Casere	casere	casere
-	se	þæt	þæt
-	se	ðam	ðam
-	gerefa	geræfan	None
+	and	and	and
+	Alexandria	Alexandria	alexandria
-	se	seo	seon
+	burh	burh	burh
+	sona	sona	sona
-	weorþan	wearð	None
+	afyllan	afylled	afyllan
+	mid	mid	mid
+	micel	mycclum	micel
+	Cristendom	cristendome	cristendom
+	and	and	and
+	manig	manegum	manig
+	circe	cyrcum	circe
+	and	And	and
+	on	on	on
+	gehwylc	gehwylcum	gehwylc
+	burh	burgum	burh
+	blissian	blissoden	blissian
-	se	þa	þu
+	cristen	cristenan	cristen
+	and	and	and
+	mid	mid	mid
+	weorþfulness	wurðfulnysse	weorþfulness
+	God	God	god
+	wurðodon	wurðodon	wurðodon
-	eac	eac	eacan
+	for	for	for
+	þes	þysum	þes
+	intinga	intingan	intinga
+	þæt	þæt	þæt
+	Egiptisc	ægyptisce	egiptisc
+	folc	folc	folc
-	forlætan	forlætenum	None
+	gedwyld	gedwylde	gedwyld
-	gelifan	gelyfde	gelyfan
+	on	on	on
+	Dryhten	Drihten	dryhten
+	and	And	and
+	Philippus	Philippus	philippus
+	forgifan	forgeaf	forgifan
-	fela	fæla	fæle
-	æht	eahta	eahtian
-	se	þam	þæm
+	cristen	cristenum	cristen
-	hi	him	him
-	to	to	toh
+	gemæne	gemænan	gemæne
+	bryce	brice	bryce
+	and	and	and
+	hi	hi	hi
+	gemundian	gemundode	gemundian
+	æfter	Æfter	æfter
+	þes	þisum	þes
+	gelimpan	gelamp	gelimpan
+	þæt	þæt	þæt
-	se	ða	þe
+	leas	leasan	leas
+	hæðena	hæðenan	hæðena
+	wregan	wrægdon	wregan
+	Philippus	Philippum	philippus
-	to	to	toh
-	se	ðam	ðam
+	foresecgan	foresæden	foresecgan
+	Casere	casere	casere
+	secgan	sædon	secgan
+	þæt	þæt	þæt
+	he	he	he
+	forlætan	forlete	forlætan
-	se	þa	þu
+	lifian	lifiendan	lifian
-	god	godas	gripe
+	and	and	and
-	eal	ealle	ealle
-	se	þa	þu
+	burhware	burhwaræ	burhware
+	gebugan	gebigde	gebugan
-	to	to	toh
+	Crist	Criste	crist
+	þa	Þa	þa
-	weorþan	wearð	None
+	se	se	se
+	Casere	casere	casere
+	sona	sona	sona
+	geyrsian	geyrsod	geyrsian
+	and	and	and
+	bebeodan	bebead	bebeodan
+	Philippus	Philippe	philippus
+	þæt	þæt	þæt
+	he	he	he
+	bugan	buge	bugan
-	to	to	toh
-	his	his	hit
+	god	godum	god
+	oððe	oððe	oððe
-	wesan	wære	wære
+	benæman	benæmed	benæman
-	weorþscipe	wurðscipes	None
+	and	and	and
+	æht	æhta	æht
+	þa	Þa	þa
+	dælan	dælde	dælan
+	Philippus	Philippus	philippus
+	digollice	digollice	digollice
-	his	his	hit
+	æht	æhta	æht
+	geond	geond	geond
-	eal	ealle	ealle
-	se	þa	þu
+	scir	scyre	scir
+	circe	cyrcum	circe
+	and	and	and
+	þearfa	þearfum	þearfa
+	and	and	and
+	þurh	þurh	þurh
+	micel	mycelne	micel
+	geleafa	geleafan	geleafa
+	manig	manega	manig
+	oðer	oðre	oðer
+	getrymman	getrymode	getrymman
+	swa	swa	swa
+	þæt	þæt	þæt
-	se	ða	þe
+	cristen	cristenan	cristen
+	he	hine	he
-	geceosan	gecuron	geсeosan
-	to	to	toh
+	bisceop	bisceope	bisceop
+	þa	Ða	þa
+	æfter	æfter	æfter
+	twelf	twælf	twelf
+	monað	monðum	monað
+	gemunan	gemunde	gemunan
+	se	se	se
+	Casere	casere	casere
-	hwæt	hwæt	hwæt#2
-	he	him	him
+	gesecgan	gesæd	gesecgan
+	wesan	wæs	wesan
+	and	and	and
-	sendan	sænde	None
+	fram	fram	fram
+	Rom	Rome	rom
+	oðer	oðerne	oðer
+	gerefa	gerefan	gerefa
+	mid	mid	mid
+	reðe	reðum	reðe
+	bebod	bebode	bebod
+	swa	swa	swa
+	þæt	þæt	þæt
+	he	he	he
-	hatan	het	hettan
+	acwellan	acwellan	acwellan
+	se	þone	se
+	cristen	cristenan	cristen
+	Philippus	Philippum	philippus
+	gif	gif	gif
+	hit	hit	hit
-	soþ	soð	soð
-	wesan	wære	wære
+	swa	swa	swa
-	he	him	him
+	gesecgan	gesæd	gesecgan
+	wesan	wæs	wesan
+	þa	Ða	þa
+	cuman	com	cuman
+	se	se	se
+	gerefa	gerefa	gerefa
+	and	and	and
+	he	hine	he
+	acwellan	acwællan	acwellan
-	ne	ne	nesan
+	durran	dorste	durran
+	on	on	on
+	se	þæs	se
+	folc	folces	folc
+	gewitnes	gewytnysse	gewitnes
+	for	for	for
+	hira	heora	hira
+	freondræden	freondrædene	freondræden
-	ac	ac	acan
+	asendan	asende	asendan
+	sum	sume	sum
-	þe	þe	þu
+	secgan	sædon	secgan
+	þæt	þæt	þæt
+	hi	hi	hi
-	wesan	wæran	wær
+	on	on	on
+	Crist	Criste	crist
+	gelyfan	gelyfede	gelyfan
-	ac	ac	acan
+	hi	hi	hi
+	leogan	lugon	leogan
+	swa	swa	swa
-	þeah	þeah	þiсgan
-	se	Ða	þa
+	gan	eoden	gan
-	to	to	toh
+	circe	cyrcean	circe
+	mid	mid	mid
+	swiþlic	swiðlicum	swiþlic
-	facen	facne	facn
+	and	and	and
+	se	ðone	se
+	mære	mæran	mære
+	bisceop	biscop	bisceop
+	on	on	on
-	his	his	hit
+	gebed	gebædum	gebed
+	ofslean	ofslogan	ofslean
+	ac	Ac	ac
+	he	he	he
-	wunian	wunade	None
+	swa	swa	swa
+	þeah	ðeah	þeah
+	on	on	on
-	se	þam	þæm
+	wund	wundum	wund
-	cwic	cucu	None
+	geond	geond	geond
+	þri	þreora	þri
+	dæg	daga	dæg
+	fæc	fæc	fæc
+	and	and	and
+	gefrefrian	gefrefrode	gefrefrian
-	se	þa	þu
+	cristen	cristenan	cristen
+	and	and	and
+	swa	swa	swa
+	mid	mid	mid
+	martyrdom	martyrdome	martyrdom
+	siððan	siþþan	siððan
+	gewitan	gewat	gewitan
-	to	to	toh
-	se	ðam	ðam
+	lifian	lifigendan	lifian
+	Dryhten	Drihtne	dryhten
-	þe	þe	þu
+	he	he	he
+	on	on	on
+	lif	life	lif
-	weorþian	wurðode	None
+	Eugenia	Eugenia	eugenia
+	habban	hæfde	habban
+	ær	ær	ær
-	se	þan	þan
+	astellan	asteald	astellan
+	mynecenu	mynecena	mynecenu
+	mynster	mynster	mynster
+	mid	mid	mid
+	micel	mycelre	micel
+	gehealdsumnys	gehealdsumnysse	gehealdsumnys
+	and	and	and
-	se	seo	seon
+	modor	modor	modor
+	Claudia	Claudia	claudia
+	hit	hit	hit
+	micel	micclum	micel
+	gegodian	gegodode	gegodian
+	and	and	and
+	hi	hi	hi
+	þær	þær	þær
+	bebyrgan	bebyrgdon	bebyrgan
+	se	þone	se
+	bisceop	bisceop	bisceop
+	Philippus	Philippum	philippus
+	and	And	and
+	hi	hi	hi
+	siððan	siþþan	siððan
-	eal	ealle	ealle
+	endemes	endemes	endemes
-	feran	færdon	None
-	se	seo	seon
+	modor	modor	modor
+	and	and	and
-	se	seo	seon
+	dohtor	dohtor	dohtor
-	to	to	toh
+	se	ðære	se
+	mære	mæran	mære
+	Romeburh	Rome.byrig	romeburh
+	and	and	and
-	se	ða	þe
+	gebroðor	gebroðru	gebroðor
+	samod	samod	samod
+	Sergius	Særgius	sergius
+	and	and	and
+	Auitus	Auitus	auitus
+	and	And	and
-	se	þa	þu
+	Romanisc	romaniscan	romanisc
-	wita	wytan	None
+	hi	hi	hi
+	wel	wel	wel
+	underfon	underfængon	underfon
+	and	and	and
+	for	for	for
-	se	þære	þære
+	eald	ealdan	eald
+	cyþ	cyððe	cyþ
+	se	þæs	se
+	æðele	æðelan	æðele
+	Philippus	Philippes	philippus
+	þa	Þa	þa
+	gesettan	gesætton	gesettan
-	se	þa	þu
-	wita	wytan	None
+	sona	sona	sona
-	se	þa	þu
+	cniht	cnihtas	cniht
+	on	on	on
+	twegen	twam	twegen
+	heafodburh	heafodburgum	heafodburh
+	on	on	on
+	healic	healicum	healic
+	weorþmynd	wurðmynte	weorþmynd
+	an	ænne	an
+	on	on	on
+	Affrica	Affrican	affrica
+	and	and	and
+	oðer	oðerne	oðer
+	on	on	on
+	Cartagine	Cartagine	cartagine
+	Eugenia	Eugenia	eugenia
-	þa	þa	þu
+	wunian	wunode	wunian
+	on	on	on
+	Rom	Rome	rom
+	and	and	and
-	heo	hire	hire
-	cuman	coman	None
-	to	to	toh
+	gehwylc	gehwylce	gehwylc
-	mægden	mædenu	mæden
+	and	and	and
+	heo	heo	heo
+	hi	hi	hi
+	gebegan	gebegde	gebegan
+	mid	mid	mid
-	hire	hyre	hyrian
+	gebysnung	gebysnunge	gebysnung
-	to	to	toh
+	Crist	Criste	crist
+	and	and	and
+	hi	hi	hi
+	on	on	on
+	mægþhad	mægðhade	mægþhad
+	wunian	wunodon	wunian
+	þurh	þurh	þurh
-	hire	hyre	hyrian
+	mynegung	mynegunge	mynegung
+	þa	Þa	þa
+	wesan	wæs	wesan
+	on	on	on
+	Romeburh	Rome.byrig	romeburh
+	sum	sum	sum
+	cyneboren	cyneboren	cyneboren
-	mægden	mæden	mæden
+	Basilla	Basilla	basilla
-	gehatan	gehaten	hatan
+	on	on	on
+	hæðenscipe	hæðenscype	hæðenscipe
+	wunian	wunigende	wunian
-	se	seo	seon
+	willan	wolde	willan
+	gehyran	gehyran	gehyran
-	se	þa	þu
+	halig	halgan	halig
+	lar	lare	lar
+	of	of	of
+	Eugenia	Eugenian	eugenia
+	muþ	muþe	muþ
-	ac	ac	acan
+	heo	heo	heo
-	ne	ne	nesan
-	magan	mihte	miht
-	heo	hire	hire
+	genealæcan	genealecean	genealæcan
+	forðam	forðan	forðam
-	þe	þe	þu
+	Cristendom	cristendom	cristendom
+	wesan	wæs	wesan
+	þær	þær	þær
+	onscunigendlic	onscunigendlic	onscunigendlic
+	þa	Ða	þa
+	sendan	sende	sendan
+	Eugenia	Eugenia	eugenia
-	se	þa	þu
-	twegen	twægen	twægen
-	halga	halgan	halig
+	Protus	Protum	protus
+	and	and	and
+	Iacinctus	Iacinctum	iacinctus
-	to	to	toh
-	se	ðam	ðam
+	hæðen	hæðenen	hæðen
-	mægden	mædene	mæden
-	hwæt	Hwæt	None
-	þa	þa	þu
+	Basilla	Basilla	basilla
+	mid	mid	mid
+	blis	blysse	blis
-	heo	hi	hi
+	underfon	underfæng	underfon
+	and	and	and
-	dæg	deges	None
+	and	and	and
